"Name","Country of Origin","Type","Powerplants","Performance","Weights","Dimensions","Capacity","Production","History","Source URL"
"Piper PA-60 Aerostar","United States of America","Six seat high performance light twin","600A - Two 215kW (290hp) Lycoming IO-540-K1J5 fuel injected flat six piston engines driving three blade constant speed Hartzell propellers. 
PA-60-700P - Two 260kW (350hp) turbocharged and counter rotating TIO-540-U2As.","600A - Max speed 418km/h (226kt), long range cruising speed 357km/h (193kt). Initial rate of climb 1800ft/min. Service ceiling 21,200ft. Max range with reserves 2225km (1200nm). 
PA-60-700P - Max speed 490km/h (264kt), max cruising speed 484km/h (261kt), economical cruising speed 390km/h (211kt). Initial rate of climb 1755ft/min. Service ceiling 25,000ft. Range at max cruising speed 1250km (675nm), at economical cruising speed with max fuel 2150km (1160nm).","600A - Empty 1695kg (3757lb), max takeoff 2495kg (5500lb).
PA-60-700P - Empty 1940kg (4275lb), max takeoff 2864kg (6315lb).","600A - Wing span 10.41m (34ft 2in), length 10.61m (34ft 10in), height 3.89m (12ft 1in). Wing area 15.8m2 (170sq ft).
PA-60-700P - Same except for wing span 11.18m (36ft 8in). Wing area 16.6m2 (178.2sq ft).","Typical seating for six.","1010 Aerostars built, including 491 by Ted Smith and 519 by Piper.","The Aerostar - which in its higher powered forms can lay claim to being the fastest piston twin GA aircraft built - was designed by Ted Smith, who was also responsible for the Aero Commander twins. 

Smith's original intention in designing the Aerostar was to develop a family of single and piston twins, twin turboprop and even twin jet powered versions of the same basic aircraft. However the Aerostar appeared in piston twin form only. Smith began design work on the Aerostar in late 1964, with a prototype making its first flight two years later in November 1966. 

The prototype was powered by 120kW (160hp) Lycoming IO-320s, but the Aerostar was placed into production from 1968 as the Aerostar 600 with 215kW (290hp) IO-540s. The turbocharged Aerostar 601 followed the 600 into production shortly afterwards, while the turbocharged and pressurised 601P went into production in 1972. By this time Butler Aviation had acquired the production rights of the Aerostar in 1970, producing a small number as Butler Aerostars. Smith bought the line back again in 1972, and his new company Ted R Smith and Associates resumed Aerostar manufacture, including of the improved 601B with the same span wings as on the 601P, until Piper acquired the Aerostar line in March 1978. 

Piper continued production of the 600A, 601B and 601P at Ted Smith's Santa Maria plant, and introduced the 602P with low compression TIO-540-AA1A5 engines. 

When Piper transferred production to its new Vero Beach, Florida factory in early 1982, only the 602P was in production, and this was redesignated the PA-60-602P. The PA-60-700P was the last Aerostar version, and just 25 were built. In production between 1983 and 1985, the 700P has more powerful engines, a higher max takeoff weight and optional extra fuel capacity.","https://www.airliners.net/aircraft-data/piper-pa-60-aerostar/317"
"Pitts S-1/2 Special","United States of America","Single and two seat competition aerobatic biplanes","S-1S - One 135kW (180hp) Lycoming IO-360 fuel injected flat four piston engine driving a two blade fixed pitch propeller. 
S-2C - One 195kW (260hp) Textron Lycoming AEIO-540 flat six, driving a two blade constant speed Hartzell propeller.","S-1S - Max speed 283km/h (153kt), max cruising speed 227km/h (123kt). Initial rate of climb 2600ft/min. Service ceiling 22,300ft. Max range with no reserves 507km (275nm).
S-2B - Max cruising speed 282km/h (152kt). Initial rate of climb 2700ft/min. Service ceiling 21,000ft. Range with max fuel at economical cruising speed 513km (277nm).
S-2C - Max speed 313km/h (169kt), manoeuvring speed 248km/h (134kt). Initial rate of climb 2900ft/min. Service ceiling 21,000ft. Range at 55% power 555km (300nm).","S-1S - Empty 326kg (720lb), max takeoff 520kg (1150lb). 
S-2B - Empty 520kg (1150lb), max takeoff 737kg (1625lb).
S-2C - Empty 520kg (1150lb), max takeoff 771kg (1700lb).","S-1S - Wing span 5.28m (17ft 4in), length 4.71m (15ft 6in), height 1.91m (6ft 3in). Wing area 9.2m2 (98.5sq ft). 
S-2B - Wing span upper 6.10m (20ft 0in), lower 5.79m (19ft 0in), length 5.71m (18ft 9in), height 2.02m (6ft 8in). Wing area 11.6m2 (125.0sq ft).
S-2C - Wing span upper 6.10m (20ft 0in), length 5.41m (17ft 9in), height 2.02m (6ft 8in). Wing area 11.8m2 (127.5sq ft).","S-1 series seats pilot only. 
S-2 series seats two, except for S-2S which seats pilot only.","Factory built: 64 S-1S, 61 S-1T, 272 S-2 & S-2A, 358 S-2B, 67 (by 2004) S-2C, 17 S-2S.
Homebuilt: 900+","The designer of the original Pitts Special aerobatic biplane, Curtiss Pitts, could hardly have appreciated that his design would continue in production for many decades, and that it would come to be considered by the general public for a long time as the definitive aerobatic and display flying aircraft. 

The original prototype of the S-1 Special first flew in September 1944. The aircraft was of steel tube construction with fabric covering over wooden spars, while the two wings were braced with wire. Power in early aircraft was supplied by 65 to 95kW (90 to 125hp) four cylinder Continentals or Lycomings. Later models were higher powered and of conventional metal construction.

The early Pitts Special aircraft were custom built, differing in detail and powerplant employed. Examples are e.g. ""Little Stinker"" built for Betty Skelton in 1947 with a 65kW (90hp) Continental and ""Black Beauty"" built for Caro Bailey with a 95kW (125hp) Lycoming O-290-D. These models featured two ailerons and flat bottom wings.

The first model for which drawings were available, from 1962, was the S-1C. Like the original S-1, this model had two ailerons and flat bottom wings. The homebuilder could choose between several engines of different horsepower.

A second model for which only plans were available, was the S-1D. This differed from the S-1C in having four ailerons and a slightly longer fuselage.  

Factory production (initially by Aerotek) of the basic single seat S-1 Special started with the S-1S with a 135kW (180hp) Lycoming IO-360-B4A, driving a fixed pitch prop, and featuring symmetrical instead of flat bottom wings, with four ailerons. Plans and kits of this version were also available, as the S-1SE (originally named S-1E).

The S-1T was introduced to production in 1981, and introduced a 150kW (200hp) Lycoming (now Textron Lycoming) AEIO-360-A1E driving a constant speed prop and with symmetrical wings with four ailerons. Also the wings were moved forward 11.5cm (4.5in) compared with the S-1S. The S-1T was also available as a kit, as the S-1TE. 

The two seat S-2 Special is of the same configuration as the single seat S-1 but is larger overall, and generally regarded as a more capable aerobatic aircraft due to its larger size and heavier weight, more power and aerodynamic changes. For this reason the S-2 is also built in single seat 195kW (260hp) AEIO-540 powered S-2S form (kit version S-2SE), while two seat models are the S-2 with a 135kW (180hp) Lycoming O-360-B4A with fixed pitch propeller (kit version S-2E), the S-2A with a 150kW (200hp) IO-360-A1A with constant speed propeller (kit version S-2AE), and the S-2B with a 195kW (260hp) AEIO-540 engine and with wings and landing gear moved forward 10cm (4in). The S-2B is fully aerobatic with two occupants. The S-2C has aerodynamic changes including square wingtips, fin and tailplanes, flattened belly, refined engine cowl and redesigned windshield. It cruises 24km/h (13kt) faster than the S-2B. 

The Pitts Special has been factory built by Aerotek, Christen, and currently Aviat.

Plans and components for the S-1C and S-1SS (S-1S with the aileron technology of the S-1-11B Super Stinker) are currently available from Steen Aero Lab.","https://www.airliners.net/aircraft-data/pitts-s-12-special/46"
"PZL-Mielec M-18 Dromader","Poland","Ag spraying and firefighter aircraft","One 745kW (1000hp) PZL Kalisz (Shvetsov) ASz-62IR supercharged nine cylinder radial piston engine driving a four blade constant speed propeller.","M-18 & M-18A (with ag equipment) - Max cruising speed 237km/h (128kt), typical operating speed range 170 to 190km/h (90 to 103kt). Initial rate of climb 1115ft/min. Service ceiling 21,235ft. Max range with no reserves with max fuel and no ag equipment 970km (520nm). 
M-18A (without ag equipment) - Max speed 256km/h (138kt), cruising speed 205km/h (110kt), typical operating speed 230km/h (124kt). Initial rate of climb 1360ft/min. Service ceiling 21,235ft. Max range with no reserves with max fuel and no ag equipment 970km (520nm).","M-18A - Empty 2690kg (5930lb), max takeoff 4700kg (10,360lb) but restricted to 4200kg (9230lb) under FAR Pt 23.","M-18A - Wing span 17.70m (58ft 1in), length 9.47m (31ft 3in), height over tail 3.70m (12ft 2in). Wing area 40.0m2 (430.5sq ft).","M-18 seats pilot only.
M-18A has second seat for a ground loader or mechanic behind the pilot.
M-18AS and BS have a second cockpit with instrumentation for an instructor. 
M-18B hopper capacity of 2500 litres (550Imp gal/660US gal) of liquid or 2200kg (4850lb) of dry chemicals.","By 2002 over 715 Dromaders built, most for export. M-18 single-seater production ceased in 1984 after 230 built.","The M-18 Dromader agricultural aircraft has been one of Poland's most successful aircraft exports. 

PZL-Mielec designed the Dromader in collaboration with Rockwell International in the US during the mid 1970s. From the outset the aim was to certificate the aircraft to western standards. The first prototype of the basic single seat M-18 first flew on August 27 1976, a second prototype flew that October. Poland awarded certification for the Dromader during September 1978, and series production began the following year. 

The basic Dromader design was conventional, with power supplied by a nine cylinder radial engine, while the outer wing panels were based on those on the Rockwell Thrush Commander. 

The basic single seat M-18 was in production for five years until 1984 when it was replaced by the two seat M-18A, but has been available to special order since. The two seat M-18A was developed to allow the carriage of either a mechanic or chemical loader to austere fields. In the meantime PZL-Mielec had developed a firebombing derivative which first flew in 1978. The M-18AS trainer has a second cockpit for flight instruction. Since 1996 the M-18B, with a 5300kg (11,684lb) max takeoff weight, has been the standard production model. The M-18BS is a two seat trainer based on the M-18B. The M-18C with 895kW (1200hp) Kalisz K-9 engine flew in 1995 but has not entered production. 

In the USA, Melex (part owned by PZL-Mielec) developed a PT6A-45 turboprop development dubbed the M-18/T45 Turbine Dromader. The Turbine Dromader first flew during 1985 and the US FAA issued it a Supplementary Type Certificate in April 1986. Others have been converted with a PT6A-65, TPE331-10 or T53-L-7 turbine engine.","https://www.airliners.net/aircraft-data/pzl-mielec-m-18-dromader/318"
"PZL-Okecie PZL-110/111 Koliber","Poland","Four seat light aircraft","160A - One 120kW (160hp) Textron Lycoming O-320-D2A flat four piston engine driving a two blade fixed pitch Sensenich propeller. 
235A - One 175kW (235hp) Textron Lycoming O-540-B4B5 flat six driving a two blade McCauley or three blade Hartzell constant speed prop.","160A - Max speed 220km/h (119kt), cruising speed at 75% power 194km/h (105kt). Service ceiling 11,475ft. Max range at 75% power 919km (496nm), at 65% power 960km (518nm). 
235A - Max speed 260km/h (140kt), cruising speed at 75% power 248km/h (134kt). Service ceiling 14,755ft. Max range at 75% power 734km (396nm), at 65% power 958km (517nm).","160A - Empty 607kg (1337lb), max takeoff 850kg (1874lb). 
235A - Empty 705kg (1553lb), max takeoff 1150kg (2533lb).","160A & 235A - Wing span 9.75m (32ft 0in), length 7.37m (24ft 2in), height 2.80m (9ft 2in). Wing area 12.7m2 (136.5sq ft).","Typical seating for four.","Total Franklin powered Series I, II and III production approximately 40 units. Approx 75 Lycoming powered Kolibers built.","The Koliber (Hummingbird) is a licence built development of the Socata Rallye. 

The Rallye was still in production when PZL-Okecie acquired a licence to build and develop the Rallye 100ST in Poland. The prototype Koliber was powered by a 87kW (116hp) PZLF (Franklin) four cylinder engine (Poland had earlier purchased the design and production rights to Franklin engines) and flew on April 18 1978. 

Initial production Kolibers featured the 86kW (116hp) engine, later aircraft a more powerful 95kW (125hp) Franklin engine. Franklin powered versions of the Koliber were the Series I, the initial production model, with 10 built and first flight occurring in May 1979; the Series II developed for Polish aero clubs which was capable of limited aerobatics (25 built); and the improved Series III (45 built). Franklin powered Koliber production ceased in 1988. 

The Textron Lycoming O-320 powered Koliber 150 first flew in September 1988. The 150A (Koliber II in the USA) was developed for export and was granted US FAR Part 23 certification in early 1994. According to the type's US and Asia Pacific distributor Cadmus, this was the first time that a four place fixed undercarriage light aircraft had been fully certificated in the USA in over a decade. The first Koliber 150A delivery was made to a US customer in mid 1994, while Koliber 150s have been delivered to a number of European countries. 

The PZL-111 Koliber 235 Senior is a more powerful, higher performance development, powered by a 175kW (235hp) Textron Lycoming O-540. It first flew in September 1995. 

The latest model is the 120kW (160hp) O-320-D2A powered Koliber 160A.","https://www.airliners.net/aircraft-data/pzl-okecie-pzl-110111-koliber/323"
"PZL Swidnik (Mil) Mi2 & Kania","Poland & Russia","Light twin turboshaft utility helicopter","Mi2 - Two 300kW (400shp) Isotov designed Polish built GTD350 turboshafts driving a three blade main rotor and two blade tail rotor. Kania - Two 315kW (720shp) Allison 250C20B turboshafts driving a three blade main and two blade tail rotor.","Mi2 - Max cruising speed 200km/h (108kt), long range cruising speed 190km/h (102kt). Max rate of climb 885ft/min. Service ceiling 13,125ft. Hovering ceiling in ground effect 6560ft. Range with max payload and reserves 170km (91nm), range with max fuel 440km (237nm), range with optional fuel 580km (313nm). Kania - Max cruising speed 215km/h (116kt), economical cruising speed 190km/h (102kt). Initial rate of climb 1722ft/min. Service ceiling 13,120ft. Hovering ceiling out of ground effect 4510ft. Range with max fuel and reserves 435km (234nm), with auxiliary fuel and reserves 800km (432nm). Endurance with auxiliary fuel 4hr.","Mi2 - Empty equipped 2402kg (5295lb) in passenger version, or 2372kg (5229lb) in transport version; max takeoff 3550kg (7826lb). Kania - Basic empty 2000kg (4410lb), max takeoff 3550kg (7826lb).","Mi2 - Main rotor diameter 14.50m (47ft 7in), length overall 17.48m (57ft 4in), fuselage length 11.94m (39ft 2in), height (no tail rotor) 2.70m (8ft 10in). Main rotor disc area 166.4m2 (1791.1sq ft). Kania - Same except for fuselage length 12.03m (39ft 6in).","Mi2 - Two pilots or one pilot and passenger on flightdeck, and main cabin seating for seven. Ambulance configurations can accommodate four stretchers and one medical attendant or two stretchers and two attendants. Kania - Pilot and eight passengers in passenger configuration, pilot and five passengers in corporate configuration. Two stretchers, one seated patient and two medical attendants in ambulance configuration. Ag version capacity 1000kg (2205lb) of chemicals.","More than 5500 mainly military Mi2s built since 1965. 16 Kanias (including prototypes) built thus far.","Poland's most successful helicopter was originally developed in Russia by Mil, and in its Allison powered Kania (Kitty Hawk) version has achieved US certification. 

Mil originally designed the light utility Mi2 in Russia during the early 1960s, resulting in a first flight in September 1961. In January 1964 an agreement between the USSR and Poland transferred development and production to the latter country, which commenced in 1965. The Mi2 evolved since that time and remained in low rate production into the 1990s. The main civil variant is simply designated Mi2, Swidnik also developed a diverse number of military variants. 

The Kania (Kitty Hawk) is a substantial upgrade of the basic Mi2, and features Allison 250C20B turboshafts, western avionics, composite main and tail rotor blades, and has won US FAR Pt 29 certification. Developed in cooperation with Allison, the Kania first flew on June 3 1979, and US certification was granted in February 1986. The Kania has never entered full scale production but remains on offer, both as new build aircraft and as an upgrade of existing Mi2s.","https://www.airliners.net/aircraft-data/pzl-swidnik-mil-mi2-kania/319"
"PZL Swidnik SW4","Poland","Light utility helicopter","One 335kW (450shp) (283kW/380shp max continuous rated) Allison 250C20R/2 turboshaft driving a three blade main rotor and two blade tail rotor. Option of one 460kW (615shp) Pratt & Whitney Canada PW200/9 turboshaft.","Allison engine - Max speed 232km/h (125kt), normal cruising speed 200km/h (108kt). Initial rate of climb 1973ft/min. Service ceiling 17,820ft. Max range with standard fuel and no reserves 860km (464nm). Endurance 5hr 8min.","Allison engine - Empty 850kg (1874lb), max takeoff (internal load) 1600kg (3527lb), max takeoff with sling load 1800kg (3968lb).","Main rotor disc diameter 9.00m (29ft 6in), length overall rotors turning 10.55m (34ft 8in), fuselage length including tailskid 9.08m (29ft 9in), height overall 3.05m (10ft 10in). Main rotor disc area 63.6m2 (684.8sq ft).","Standard seating for four or five (including pilot). In medevac configuration accommodation for one stretcher patient and two medical attendants. Max sling load 750kg (1655lb).","Two flying prototypes and one static prototype built by 1998. First deliveries planned during 1999.","The origins of PZL Swidnik's SW4 five seat light utility helicopter date back to the early 1980s. <p>Swidnik began development of a new four/five place light utility helicopter in 1981. This original SW4 was to have been powered by a 300kW (400shp) PZL Rzeszow GTD350 turboshaft and was built in mockup form. It would have had a top speed of 240km/h (130kt) and a max range with auxiliary fuel of 900km (485nm). <p>The collapse of the Iron Curtain allowed Swidnik to substantially redesign the SW4, based around the Allison 250 turboshaft. Aside from the powerplant, design changes included a more streamlined fuselage and revised tail and tailboom. <p>The first prototype, a non flying ground test aircraft, was rolled out in December 1994. Two flying prototypes have been built, the first of which was completed in 1996 and first flew on October 26 that year. <p>PZL Swidnik aims to attain US FAA FAR Part 27 certification for the SW4 which will allow it to enter production in 1999. The program was delayed somewhat when PZL Swidnik decided to redesign the rotor head, enlarge the horizontal stabiliser and improve the hydraulic system. <p>Once the basic Allison powered SW4 is certificated and in production PZL Swidnik aims to offer a Pratt & Whitney Canada PW200 powered variant. A twin engine model is also planned to allow the helicopter to meet forthcoming European regulations which will restrict single engine helicopter operations under some conditions. <p>The SW4 is expected to be able to fulfil a range of utility missions ranging from executive transport to medevac and police roles. Border patrol and military pilot training are other planned missions. <p>","https://www.airliners.net/aircraft-data/pzl-swidnik-sw4/321"
"PZL Swidnik W3 Sokol","Poland","Mid size twin engine utility helicopter","Two 670kW (900shp) takeoff rated WSKPZL Rzeszów PZL10W turboshafts driving a four blade main rotor and three blade tail rotor.","W-3A - Max cruising speed 243km/h (131kt). Initial rate of climb 2008ft/min. Hovering ceiling (at max takeoff weight) out of ground effect 6220ft. Service ceiling 19,680ft. Max range with reserves 745km (402nm), with auxiliary fuel and reserves 1290km (696nm), with max payload and no reserves 200km (108nm).","W3A - Basic operating empty 3850kg (8488lb), max takeoff 6400kg (14,110lb).","Main rotor diameter 15.70m (51ft 6in), length overall rotors turning 18.79m (61ft 8in), fuselage length 14.21m (46ft 8in), height overall 5.14m (16ft 10in), height to top of rotor mast 4.20m (13ft 10in). Main rotor disc area 193.6m2 (2034sq ft).","Two pilots or pilot and flight engineer or passenger on flightdeck. Main cabin seating for 12 in passenger configuration, or three medical attendants and eight rescued survivors in SAR Anaconda version, or four stretchers and medical attendant in ambulance configuration, one stretcher and medical attendants in critical care EMS version, or five/six passengers in executive configuration. Can carry a 2100kg (4630lb) sling load.","Approximately 130 Sokols of all models have been built, including against Polish military orders.","The W3 Sokol (Falcon) utility is the first helicopter to be fully designed and built in Poland, and is PZL Swidnik's most promising sales prospect in the near to medium future. 

Developed during the mid 1970s, the Sokol made its first flight on November 16 1979, and has since been certificated in Poland, Russia, the US and Germany. Following a fairly protracted development program, low rate production of the Sokol commenced during 1985. Initial sales of the general purpose Sokol were within Poland and in the Eastern Bloc, before the collapse of communism allowed PZL Swidnik to broaden its sales base. To do this PZL Swidnik developed the improved W3A Sokol aimed at achieving western certification. Certification to US FAR Pt 29 standards was granted in May 1993, while German certification was granted in December that year. 

The Sokol is of conventional design and construction, with two PZL10W turboshafts, which are based on the Russian designed TVD10B turboprops that power the Polish built An-28. Composites are used in the tail and main rotor blades. 

The Sokol is offered in a number of variants and is capable of performing a typical range of helicopter missions, including passenger transport, VIP, cargo, EMS, medevac, firefighting and search and rescue (the W3 RM Anaconda). 

An upgraded version of the Sokol is currently under development. The SW5 (a provisional designation) would have twin FADEC equipped 745kW (1000shp) Pratt & Whitney Canada PT6B-67B turboshafts, Sextant supplied avionics, a simplified rotor head and greater use of composites.","https://www.airliners.net/aircraft-data/pzl-swidnik-w3-sokol/320"
"PZL WarszawaOkecie PZL104 Wilga","Poland","Four seat light utility aircraft","35A - One 195kW (260hp) PZL AI14RA nine cylinder radial piston engine driving a two blade constant speed propeller. 2000 - One 225kW (300hp) Textron Lycoming IO-540 flat six driving a three blade constant speed prop","35A - Max speed 194km/h (105kt), cruising speed at 75% power 157km/h (85kt). Initial rate of climb 905ft/min. Service ceiling 13,250ft. Range with max fuel and reserves 510km (275nm). 2000 - Cruising speed at 75% power 190km/h (103kt). Max range 1500km (810nm).","35A - Empty equipped 870kg (1918lb), max takeoff 1300kg (2866lb). 2000 - Empty 900kg (1984lb), max takeoff 1400kg (3086lb).","35A/2000 - Wing span 11.12m (36ft 6in), length 8.10m (26ft 7in), height 2.96m (9ft 9in). Wing area 15.5m2 (166.8sq ft).","Typical seating for four including pilot. Rear two seats can be replaced with fuel tank. Ambulance configuration accommodates two stretchers and medical attendants.","More than 965 Wilgas built since the mid 1960s. Small numbers of Wilga 2000s built.","The rugged STOL PZL104 Wilga has been one of Poland's most successful light aircraft exports. <p>Poland's Light Aircraft Science and Production Centre in Warsaw began development of the Wilga in the early 1960s as a replacement for the general purpose Czechoslovak L60 Brigadyr utility. The prototype Wilga 1 was powered by a 135kW (180hp) Narkiewicz WN6B radial and flew for the first time on April 24 1962. A fairly extensive redesign of the basic aircraft followed, and a modified Wilga 2 with a new fuselage and tail and a 145kW (195hp) WN6RB engine flew in August 1963. That December the 170kW (225hp) Continental O470 powered Wilga C or (Wilga 32) flew and Lipnur Gelatnik later built 39 in Indonesia. <p>Poland's first production Wilgas were the 3A four seat utility and 3S ambulance which introduced the 195kW (260hp) Ivchenko designed AI14 radial. Soon after PZL reconfigured the Wilga's cabin and landing gear, resulting in the definitive production version, the Wilga 35. The prototype Wilga 35 first flew on July 28 1967. <p>The Wilga 35 remains in production essentially unchanged, and several variants have been offered, while the Wilga 80 is identical to the 35 other than its further rear positioned carburettor air intake. The Wilga 35A and 80A are designed for flying club operations and are fitted with a hook for glider towing, the 35H and 80H are float equipped, the 35P is usually fitted with four seats, the 35R and 80R are agricultural aircraft fitted with a 270kg (595lb) under fuselage chemical hopper and spray bars, and the 35P is an ambulance variant capable of carrying two stretchers. <p>The PZL-104M Wilga 2000 is an improved development aimed at western customers. It is powered by a 225kW (300hp) Textron Lycoming Continental IO540 flat six in a reprofiled nose, and features AlliedSignal avionics and extra fuel. First flight was on August 21 1996, while FAA certification was awarded in 1997. <p>","https://www.airliners.net/aircraft-data/pzl-warszawaokecie-pzl104-wilga/322"
"Raytheon 390 Premier I","United States of America","Light corporate jet","Two 10.2kN (2300lb) WilliamsRolls FJ442A turbofans.","Max cruising speed 854km/h (461kt). Max certificated operating altitude 41,000ft. Takeoff length at MTOW at S/L less than 915m (3000ft). Max range at long range cruising speed with IFR reserves 2780km (1500nm). Time to climb to 37,000ft at max takeoff weight at SL 15min.","Basic operating 3626kg (7996lb). Max takeoff 5670kg (12,500lb) Payload with full fuel and one pilot 429kg (946lb).","Wing span 13.56m (44ft 6in), length 13.81m (45ft 4in), height 4.66m (15ft 4in).","One or two pilots on flightdeck (will be certificated for single pilot). Main cabin seats six in standard configuration with four seats in a club arrangement and two seats behind them. Toilet in rear fuselage. Baggage compartments in nose and tail.","More than 300 orders held at late 2001. First deliveries planned for second half of 2001. Planned production of 50 per year.","The Model 390 Premier I is the first all new product of the Raytheon Aircraft Beech/Hawker combine to fly, and is an all new entry level corporate jet designed to compete head on with Cessna's highly successful CitationJet/CJ1 series. 

Design work on the Premier I began in early 1994 under the designation PD-374. Development go-ahead was authorised in early 1995, and initial details of the new jet were released in mid 1995. Raytheon publicly launched the Premier I at the NBAA (National Business Aircraft Association) convention in Las Vegas in September 1995, where a full size cabin mockup was on display. 

Construction of the first Premier I began in late 1996 and rollout was on August 19 1998. Four Premier Is were used in the flight test program with the first flying on December 22 1998. Certification was achieved in early 2001. 

The Premier I was designed using CATIA computer aided design. Features include its composite carbonfibre/epoxy honeycomb fuselage, swept metal construction wings, T-tail and two WilliamsRolls FJ-44 turbofans. 

The composite fuselage is an important feature for a number of reasons. Firstly, advanced production techniques (using computer controlled automated machines) means a Premier I fuselage can be constructed in just one day, whereas a conventional airframe would require one to two weeks to complete. The composite construction also allows greater (approx 13%) internal cabin space compared with a conventional construction fuselage of the same external dimensions. 

The Premier I is certificated for single pilot operations. The flightdeck features the new Collins Pro Line 21 EFIS avionics suite with two 20 x 25cm (8 x 10in) flat panel LCDs. 

Raytheon intends that the Premier I will form the basis of a new family of business jets.","https://www.airliners.net/aircraft-data/raytheon-390-premier-i/334"
"Raytheon 90/100 King Air","United States of America","Twin turboprop corporate and utility transport","90 - Two 373kW (500shp) PT6A-6 turboprops driving three blade constant speed Hartzell propellers. 
B100 - Two 533kW (715shp) Garrett TPE331-6-252Bs driving three blade props. 
C90B - Two 410kW (550shp) PT6A-21s driving four blade props.","90 - Max speed 450km/h (243kt), max cruising speed 435km/h (235kt). Initial rate of climb 1900ft/min. Range with reserves 2520km (1360nm). 
B100 - Max speed 491km/h (265kt). Initial rate of climb 2140ft/min. Range at max cruising speed 2343km (1264nm), at economical cruising speed 2455km (1325nm). 
C90B - Max cruising speed 457km/h (247kt). Range at economical cruising speed at 24,000ft 2375km (1282nm).","90 - Empty equipped 2412kg (5318lb), max takeoff 4218kg (9300lb). 
B100 - Empty equipped 3212kg (7092lb), max takeoff 5352kg (11,800lb). 
C90B - Empty 3040kg (6702lb), max takeoff 4580kg (10,100lb).","90 - Wing span 13.98m (45ft 11in), length 10.82m (35ft 6in), height 4.47m (14ft 8in). Wing area 25.9m2 (279.7sq ft).
B100 - Wing span 14.00m (45ft
11in), length 12.17m (39ft 11in), height 4.70m (15ft 5in). Wing area 26.0m2 (279.7sq ft).
C90B - Wing span 15.32m (50ft 3in), length 10.82m (35ft 6in), height 4.34m (14ft 3in). Wing area 27.3m2 (293.9sq ft).","90 - Typical seating for six, max seating for eight. 
100 - Six to eight in corporate configuration, or max seating for 13.","Approx 1925 of all variants of the King Air 90 family built (including 226 military orders). Approx 350 King Air 100s built.","The Beech Model 90 King Air was the first model in the largest and most successful family of corporate turboprop twins yet built. 

The King Air began life as a turboprop development of the Queen Air designed to meet a US Army requirement for a staff/utility transport. A prototype PT6 powered Queen Air Model 65-80 (later 65-90T) began test flying in 1963 and the type was subsequently ordered by the US Army in unpressurised form as the U-21A. 

The civil equivalent, the Model 90 King Air, introduced pressurisation and first flew on January 20 1964. Deliveries of production civil aircraft began in late 1964. 

Development resulted in several civil variants, including the A90 and B90 with PT6A-20 engines; the C90 with PT6A-21s; the E90 with more powerful PT6A-34Bs; and the F90 which introduced the T-tail of the 200 (described separately), four blade props and other mods. The less expensive C90SE Special Edition was released during 1994, but is no longer offered. The current C90B has been in production since 1991.

The latest variant is the C90B Jaguar Special Edition. Announced in January 1998 it features the Jaguar car company's green and gold colours including the famous leaping cat on the tail and a Connolly leather interior with walnut and boxwood cabinets.

In February 1981, Beech became a subsidiary company of Raytheon. In September 1994, Raytheon merged Beech and Corporate Jets (builders of the Hawker 800/1000) into Raytheon Aircraft. 

The King Air 100 series was announced in May 1969. Compared with the 90 series it was 1.27m (4ft 2in) longer, allowing greater seating capacity, and featured a reduced wing span and larger rudder. The A100 is a military version, while the B100 is powered by 535kW (715shp) Garrett TFE331s. Production of the 100 ceased in 1984.","https://www.airliners.net/aircraft-data/raytheon-90100-king-air/327"
