Model_ID,Seating_Config,Cargo_Vol,Configurations
rockwellcommander112114,Typical seating for four.,,
rockwellsabreliner,Flightcrew of two. Main cabin seats up to 10 in high density layout. Various other seating arrangements possible.,,
ruschmeyerr90,Typical seating for four.,,
saab2000,"Flightcrew of two. Normal passenger accommodation for 50 at three abreast and 81cm (32in) pitch. Max seating for 58 at three abreast and 76cm (30in) pitch, with repositioned galley and wardrobe.",,
saab340,"Flightcrew of two. Main cabin seats up to 37, or typically 33 to 35 with a galley at three abreast and 76cm (30in) pitch. Combi seats 19 passengers and 1500kg (3310lb) of cargo. A small number of 340s are outfitted in corporate configurations.",,
schweizer269300,Typical seating for three on a bench seat in 300 or two in 269. Many aircraft equipped for agricultural spraying and fitted with chemical hoppers and spray booms. Can lift a 475kg (1050lb) payload in an external sling load.,,
schweizer330,"Typical seating for three, optional seating for four.",,
scottishaviationtwinpioneer,"Flightcrew of two. Main cabin seats 16 in passenger configuration, or can hold 1540kg (3400lb) of freight. Has also been used as a platform for aerial photography.",,
short330,Flightcrew of two. Typical passenger accommodation for 30 at three abreast and 76cm (30in) pitch in 10 rows of seats. In combi freight/passenger configuration the 330 houses freight in the front of the cabin and 18 passengers in the rear.,,
short360,Flightcrew of two. Typical passenger seating for 36 at three abreast and 76cm (30in) pitch in 12 seat rows. Optional seating for 39 in a high density configuration. Freighter 360300F can house up to five standard LD3 containers or pallets.,,
shortbelfast,"Flightcrew of three or four comprising two pilots, a flight engineer and possibly a navigator. Can accommodate a wide variety of oversize and heavy cargoes such as heavy machinery, industrial equipment such as generators and small aircraft and helicopters.",,
shortskyvanskyliner,"Flightcrew of one or two. Seating for up to 19 passengers at three abreast in Skyliner, or nine passengers in executive configuration.",,
siaimarchettis205208,"Typical seating for four in S-205, up to five in S-208.",,
sikorskys55westlandwhirlwind,Flightcrew of two. Typical seating in main cabin for eight to 12 passengers. Many aircraft configured in executive configurations or to carry freight. Can also carry an external sling load.,,
sikorskys76,Flightcrew of two. Max seating for 12 or 13 passengers at 79cm (31in) pitch in oil rig support aircraft. VIP configurations offered in six or eight passenger seat form. EMS configured aircraft accommodate one or two stretchers and four medical attendants.,,
sikorskys92helibus,Flightcrew of two. Accommodation in main cabin for 19 passengers or up to three standard LD3 containers.,,
sikorskys58,Flightcrew of two. Main cabin seating capacity for between 10 and 16 passengers or freight. Can also carry external sling loads.,,
sikorskys61ls61n,"Flightcrew of two. Main cabin seating for up to 26 in early production aircraft and 30 in later production aircraft. Payloader can lift a 4990kg (11,000lb) external sling load.",,
sikorskys62,Flightcrew of two. Main cabin seats 10 in typical passenger configuration. Alternatively can be configured for freight.,,
sinoswearingensj302,Typically pilot and passenger (or copilot) on flightdeck (will be certificated for single pilot operation). Typical main cabin seating for five with four in a club arrangement and fifth seat opposite main cabin door.,,
slingsbyt67firefly,"Typical seating for two, side by side.",,
socatagy80horizonst10diplomate,Typical seating for four.,,
socatams180ms250morane,Typical seating for four or five.,,
socatarallye,"Seating for three adults or two adults and two children in MS-880B Rallye Club/Rallye 100, MS-887 Rallye 125 and the MS-886 Super Rallye and Rallye 150T. All other variants had seating for four adults.",,
socatatangaragulfstreamga7,Standard seating for four.,,
socatatb9102021200tampicotobagotrinidad,"Typical seating for four or five, with pilot and passenger on front bucket seats and two or three passengers on rear bench seat.",,
socatatbm700,"Pilot and one passenger (or copilot) on flightdeck. Main cabin seating for up to five, or typical accommodation for four in a club arrangement. The TBM-700 is also offered as a freighter.",,
sudse210caravelle,"Caravelle 10 - Flightcrew of two pilots and one flight engineer. Max passengers 100 at five abreast in a high density layout. Typical accommodation for 91 passengers in a mixed class arrangement. Maximum payload 9100kg (20,600lb).",,
sukhoisu26su29su31,"Accommodation for pilot only in Su26, Su26M, Su31T and Su31U. Seating for two in tandem in Su29.",,
sukhoisuperjet100,"Flightcrew of two. 
SSJ 100-95 - 86 to 103 passengers depending on configuration.",,
taylorcraftseries,"Seating for two, except in the Model 15 Tourist, which seats four.",,
technoaviasm92finist,"One pilot and one passenger on flightdeck. Seating for six passengers in main cabin arranged in pairs. Alternatively can accommodate six parachutists, or 600kg (1320lb) of freight.",,
transaviaairtrukskyfarmer,"Single pilot in all versions. PL12, T300 and T400 - Seats for two passengers and fitted with a chemical hopper. PL12U seats five with no hopper.",,
tupolevtu134,"Flightcrew of three, comprising two pilots and a navigator. Tu-134 seats 72 in a single class. Tu-134A seats up to 84 passengers in a single class at four abreast, or 12 first class and 54 economy class at four abreast in a two class arrangement. Tu-134B3 can seat up to 96 in a single class.",,
tupolevtu154,"Flightcrew of three or four. Typical single class seating for 158 to 164 at six abreast, or 167 in a high density layout for Tu-154; 
Tu-154M seats a maximum of 180 at six abreast and 75cm (29.5in) seat pitch.",,
tupolevtu204tu214,"Flightcrew of two, although original Aeroflot requirement specified a flight engineer. Tu-204-200 seats up to 212 six abreast at 82cm (32in) pitch, or two class seating for 30 business class at 96cm (38in) pitch at six abreast and 154 economy at 81cm (32in) pitch and six abreast. Tu-204-300 seats 166 in a single class.",,
tupolevtu334,"Tu-334 - Flightcrew of two or three. Seats 102 in a single class arrangement at 78cm (31in) pitch six abreast, or alternatively 72 in a two class arrangement with 12 first class passengers at four abreast and 102cm (40in) pitch and 60 economy class passengers at 78cm (31in) pitch at six abreast.",,
vickersvc10,"Standard: Typically 109 passengers in two classes, maximum 151 passengers six abreast. Super: Typically 139 passengers in two classes, maximum 174 passengers six abreast.",,
vickersviscount,"Flightcrew of two or three. 700 - Typical layouts included 40 passengers at four abreast, or between 47 to 63 at five abreast. 
800 - Typical seating for 65 at five abreast and 97cm (38in) pitch.",,
victaaircruiser,Typical seating for four.,,
victaairtourer,"Seating for two, side by side.",,
visionairevantage,One pilot and passenger on flightdeck. Main cabin seats four in standard configuration in a club arrangement. Toilet and baggage compartment in rear of cabin.,,
weatherly201620,"Pilot only in all models. 
Hopper capacity in 201C is 1022 litres (270US gal/225Imp gal); 
Hopper capacity in 620 is 1268 litres (335US gal/280Imp gal); 
Hopper capacity in 620TP is 1287 litres (340US gal/283Imp gal).",,
yakovlevyak18t,"Typical seating for four in touring role, often used as a trainer with two on board.",,
yakovlevyak40,Flightcrew of three (two pilots and engineer). Typical passenger seating arrangement for 27 at three abreast and 78cm (30in) pitch. Maximum seating for 32 in a high density four abreast configuration. Some fitted with corporate interiors with seating arrangements for 12-15 passengers.,,
yakovlevyak42,"Flightcrew of two pilots, with provision for a flight engineer. High density single class seating for 120 at six abreast and 75cm (30in) pitch. Two class seating for eight premium class passengers at four abreast and 96 economy class at six abreast.",,
zlintrenerakrobat,"Seating for two in Z 26, Z 126, Z 226, Z 326, Z 526 and Z 726. Pilot only in Z 226A, 326A, 526A, Z 526AF and Z 526AFS.",,
zlinz42z43z142z242z143,"Seating for two in tandem in Z 42, Z 142 and Z 242, seating for four in Z 43 and Z 143.",,
